package,category,first_version,last_version
DEGreport,bioc,300,
DEGseq,bioc,205,
DELocal,bioc,317,
DEP,bioc,306,
DEScan2,bioc,307,
DESeq,bioc,206,311
DESeq2,bioc,212,
DESpace,bioc,317,
DEWSeq,bioc,310,
DEXSeq,bioc,209,
DEqMS,bioc,308,
DEsingle,bioc,307,
DEsubs,bioc,304,
DExMA,bioc,313,
DExMAdata,experiment,313,
DFP,bioc,203,
DIAlignR,bioc,311,
DLBCL,experiment,206,
DMCFB,bioc,310,
DMCHMM,bioc,306,
DMRScan,bioc,305,
DMRcaller,bioc,301,
DMRcate,bioc,214,
DMRcatedata,experiment,214,
DMRforPairs,bioc,214,317
DNABarcodeCompatibility,bioc,309,
DNABarcodes,bioc,302,319
DNAZooData,experiment,317,
DNAcopy,bioc,108,
DNAfusion,bioc,316,
DNAshapeR,bioc,303,
DNaseR,bioc,213,300
DO.db,annotation,207,
DOQTL,bioc,300,309
DOSE,bioc,209,
DREAM4,experiment,212,315
DRIMSeq,bioc,303,
DSS,bioc,211,
DTA,bioc,209,
DaMiRseq,bioc,305,
Damsel,bioc,319,
DeMAND,bioc,302,
DeMixT,bioc,309,
DeProViR,bioc,319,
DeSousa2013,experiment,213,
DeconRNASeq,bioc,211,
DeepBlueR,bioc,304,318
DeepPINCS,bioc,313,
DeepTarget,bioc,320,
DegCre,bioc,319,
DegNorm,bioc,312,
DelayedArray,bioc,305,
DelayedDataFrame,bioc,309,
DelayedMatrixStats,bioc,306,
DelayedRandomArray,bioc,313,
DelayedTensor,bioc,314,
DepInfeR,bioc,315,
DepecheR,bioc,309,
DiffBind,bioc,209,
DiffLogo,bioc,302,
DifferentialRegulation,bioc,315,
Dino,bioc,314,
Director,bioc,304,
DirichletMultinomial,bioc,211,
DiscoRhythm,bioc,309,
DmelSGI,experiment,301,
DmelanogasterGenome.dm2,annotation,108,108
DominoEffect,bioc,307,
DonaPLLP2013,experiment,213,
Doscheda,bioc,306,
DriverNet,bioc,212,
DropletTestFiles,experiment,312,
DropletUtils,bioc,307,
DrugVsDisease,bioc,212,
DrugVsDiseasedata,experiment,212,
Dune,bioc,311,
DuoClustering2018,experiment,308,
DupChecker,bioc,300,311
DvDdata,experiment,212,
DynDoc,bioc,108,
EBImage,bioc,108,
EBSEA,bioc,303,
EBSeq,bioc,213,
EBSeqHMM,bioc,300,318
EBarrays,bioc,108,
EBcoexpress,bioc,210,
EDASeq,bioc,209,
EDDA,bioc,214,312
EDIRquery,bioc,317,
EGAD,bioc,303,
EGSEA,bioc,303,
EGSEA123,workflows,306,
EGSEAdata,experiment,303,
ELBOW,bioc,214,312
ELMER,bioc,302,
ELMER.data,experiment,302,
EMDomics,bioc,301,
ENCODEFig4Band4D,experiment,209,210
ENCODExplorer,bioc,301,312
ENCODExplorerData,annotation,309,
ENVISIONQuery,bioc,208,312
ENmix,bioc,301,
EPICv2manifest,annotation,319,
ERSSA,bioc,308,
EWCE,bioc,303,
EasyCellType,bioc,316,
EasyqpcR,bioc,211,312
EatonEtAlChIPseq,experiment,206,
EmpiricalBrownsMethod,bioc,303,
EnMCB,bioc,311,
EnhancedVolcano,bioc,308,
EnrichedHeatmap,bioc,302,
EnrichmentBrowser,bioc,300,
EnsDb.Hsapiens.v75,annotation,301,
EnsDb.Hsapiens.v79,annotation,301,
EnsDb.Hsapiens.v86,annotation,304,
EnsDb.Mmusculus.v75,annotation,301,
EnsDb.Mmusculus.v79,annotation,301,
EnsDb.Rnorvegicus.v75,annotation,301,
EnsDb.Rnorvegicus.v79,annotation,301,
EpiCompare,bioc,315,318
EpiDISH,bioc,306,
EpiMix,bioc,316,
EpiMix.data,experiment,316,
EpiTxDb,bioc,311,
EpiTxDb.Hs.hg38,annotation,311,
EpiTxDb.Mm.mm10,annotation,311,
EpiTxDb.Sc.sacCer3,annotation,311,
EuPathDB,annotation,308,
EventPointer,bioc,305,
ExCluster,bioc,308,
ExiMiR,bioc,208,
ExpHunterSuite,workflows,313,
ExperimentHub,bioc,304,
ExperimentHubData,bioc,304,
ExperimentSubset,bioc,312,
ExploreModelMatrix,bioc,311,
ExpressionAtlas,bioc,303,
ExpressionNormalizationWorkflow,workflows,303,
ExpressionView,bioc,206,312
FANTOM3and4CAGE,experiment,212,
FCBF,bioc,308,317
FDb.FANTOM4.promoters.hg19,annotation,211,
FDb.InfiniumMethylation.hg18,annotation,212,
FDb.InfiniumMethylation.hg19,annotation,211,
FDb.UCSC.snp135common.hg19,annotation,211,
FDb.UCSC.snp137common.hg19,annotation,212,
FDb.UCSC.tRNAs,annotation,210,
FEAST,bioc,313,
FELLA,bioc,307,
FEM,bioc,300,311
FGNet,bioc,213,
FISHalyseR,bioc,301,
FIs,experiment,303,
FLAMES,bioc,314,
FRASER,bioc,311,
FRGEpistasis,bioc,214,
FScanR,bioc,312,318
FamAgg,bioc,303,
FastqCleaner,bioc,308,
FeatSeekR,bioc,317,
FieldEffectCrc,experiment,312,
FilterFFPE,bioc,312,
FindIT2,bioc,314,
FindMyFriends,bioc,302,313
FitHiC,bioc,304,
Fletcher2013a,experiment,213,
Fletcher2013b,experiment,213,
FlowRepositoryR,bioc,301,313
FlowSOM,bioc,301,
FlowSorted.Blood.450k,experiment,213,
FlowSorted.Blood.EPIC,experiment,308,
FlowSorted.CordBlood.450k,experiment,303,
FlowSorted.CordBloodCombined.450k,experiment,309,
FlowSorted.CordBloodNorway.450k,experiment,303,
FlowSorted.DLPFC.450k,experiment,214,
FoldGO,bioc,308,317
FourCSeq,bioc,300,312
FunChIP,bioc,304,318
FunciSNP,bioc,211,312
FunciSNP.data,experiment,210,311
FuseSOM,bioc,316,
GA4GHclient,bioc,305,
GA4GHshiny,bioc,306,
GAPGOM,bioc,309,315
GARS,bioc,307,
GAprediction,bioc,304,
GBScleanR,bioc,315,
GCSConnection,bioc,311,315
GCSFilesystem,bioc,312,315
GCSscore,bioc,310,317
GDCRNATools,bioc,307,
GDSArray,bioc,307,
GEM,bioc,304,
GENE.E,bioc,212,305
GENESIS,bioc,301,
GENIE3,bioc,306,
GEOexplorer,bioc,314,
GEOfastq,bioc,313,
GEOmetadb,bioc,202,
GEOquery,bioc,108,
GEOsearch,bioc,302,306
GEOsubmission,bioc,206,
GEWIST,bioc,210,
GGBase,bioc,202,312
GGHumanMethCancerPanelv1.db,annotation,205,
GGPA,bioc,311,
GGdata,experiment,109,312
GGtools,bioc,109,312
GIGSEA,bioc,308,
GIGSEAdata,experiment,308,
GISPA,bioc,305,318
GLAD,bioc,108,
GMRP,bioc,303,
GNET2,bioc,309,
GNOSIS,bioc,318,
GO,annotation,108,202
GO.db,annotation,201,
GOFunction,bioc,209,311
GOSemSim,bioc,204,
GOSim,bioc,213,318
GOTHiC,bioc,214,
GOexpress,bioc,300,
GOfuncR,bioc,307,
GOpro,bioc,304,
GOstats,bioc,108,
GOsummaries,bioc,300,318
GPA,bioc,311,
GRENITS,bioc,209,
GRaNIE,bioc,315,
GRmetrics,bioc,304,
GRridge,bioc,305,316
GSALightning,bioc,303,
GSAR,bioc,300,
GSBenchMark,experiment,300,
GSCA,bioc,214,
GSE103322,experiment,314,
GSE13015,experiment,313,
GSE159526,experiment,314,
GSE62944,experiment,303,
GSEABase,bioc,201,
GSEABenchmarkeR,bioc,307,
GSEAlm,bioc,202,
GSEAmining,bioc,312,
GSRI,bioc,206,
GSReg,bioc,300,
GSVA,bioc,208,
GSVAdata,experiment,208,
GSgalgoR,bioc,312,
GUIDEseq,bioc,302,
GWAS.BAYES,bioc,312,
GWASTools,bioc,209,
GWASdata,experiment,208,
GWENA,bioc,312,
GateFinder,bioc,307,
GeDi,bioc,319,
GenProSeq,bioc,315,
GenRank,bioc,303,311
GenVisR,bioc,303,
GeneAccord,bioc,308,316
GeneAnswers,bioc,205,314
GeneBreak,bioc,302,
GeneExpressionSignature,bioc,209,
GeneGA,bioc,207,
GeneGeneInteR,bioc,304,
GeneGroupAnalysis,bioc,210,212
GeneMeta,bioc,108,
GeneNetworkBuilder,bioc,211,
GeneOverlap,bioc,214,
GeneR,bioc,108,209
GeneRegionScan,bioc,204,
GeneRfold,bioc,202,209
GeneSelectMMD,bioc,204,
GeneSelector,bioc,202,308
GeneSpring,bioc,108,208
GeneStructureTools,bioc,307,
GeneSummary,annotation,314,
GeneTS,bioc,108,201
GeneTonic,bioc,311,
GeneTraffic,bioc,108,208
GeneticsBase,bioc,200,206
GeneticsDesign,bioc,200,311
GeneticsPed,bioc,200,
GenoGAM,bioc,303,313
GenoView,bioc,300,302
GenomAutomorphism,bioc,316,
GenomeBase,bioc,108,108
GenomeGraphs,bioc,202,310
GenomeInfoDb,bioc,214,
GenomeInfoDbData,annotation,305,
GenomicAlignments,bioc,214,
GenomicDataCommons,bioc,305,
GenomicDistributions,bioc,313,
GenomicDistributionsData,experiment,313,
GenomicFeatures,bioc,204,
GenomicFeatures.Hsapiens.UCSC.hg18,experiment,205,208
GenomicFeatures.Mmusculus.UCSC.mm9,experiment,205,208
GenomicFiles,bioc,214,
GenomicInteractionNodes,bioc,315,
GenomicInteractions,bioc,300,
GenomicOZone,bioc,310,
GenomicPlot,bioc,318,
GenomicRanges,bioc,206,
